predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer_collapse,ckpt_collapse
abs_diff,transfer_score,0,per_ckpt,304B,72,-0.0535,0.7473,-0.0531,0.6503,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,315B,72,-0.0788,0.6374,-0.0634,0.5964,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,325B,72,-0.0614,0.7053,-0.0514,0.6593,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,334B,72,-0.0675,0.6893,-0.0484,0.6803,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,342B,72,-0.0701,0.6723,-0.05,0.6713,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,352B,72,-0.0499,0.7493,-0.0529,0.6494,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,363B,72,-0.068,0.6643,-0.0643,0.5834,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,373B,72,-0.0566,0.7133,-0.0578,0.6194,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,384B,72,-0.0661,0.6873,-0.0621,0.5964,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,394B,72,-0.059,0.7113,-0.0593,0.6174,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,405B,72,-0.0724,0.6464,-0.0694,0.5475,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,415B,72,-0.0642,0.6833,-0.0597,0.6154,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,426B,72,-0.0605,0.6893,-0.0569,0.6144,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,436B,72,-0.0616,0.6953,-0.0604,0.6064,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,447B,72,-0.0607,0.7103,-0.0598,0.6094,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,457B,72,-0.0724,0.6673,-0.0722,0.5265,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,468B,72,-0.0729,0.6573,-0.0607,0.6064,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,478B,72,-0.0654,0.6923,-0.0611,0.6074,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,489B,72,-0.0667,0.6723,-0.0588,0.6144,average_rankme,none
